Topic,Count,Name,Representation,Representative_Docs,sentiment_neutral,sentiment_pos,sentiment_neg,representative_text_indexes,topic_color
-1,1853,-1_the_to_and_of,"['the', 'to', 'and', 'of', 'rt', 'for', 'in', 'energy', 'is', 'on']","[""@GaryLineker Actually, their new argument is also seriously flawed. If you look at a whole life analysis for electric vehicles, the carbon footprint is still higher than for a diesel car because of the constructible and recycling of the batteries.  I'm sorry, but as of now, Rowan was right."", ""@robertjames1968 I am with you. We rent and have 4 children because we had to 'change course' at one point and the plans we had were put aside. The rental market is brutal and landlords are always looking at loopholes so they can get a new lot in at the much higher rents they can charge."", '@samamotahari4 @CoingraphNews Take sustainable and clean solar and renewable energy projects seriously. They are the future of the planet and the future of our children\xa0 The $RET project is one of the top active projects in this field, which will create huge plans\r\n\r\n #Renewable_Energy_Token']",0.7758737182946573,0.17627738801942797,0.04786022665947113,"[1792, 3727, 3744]","(128, 128, 128)"
0,305,0_ev_charging_electric_the,"['ev', 'charging', 'electric', 'the', 'car', 'is', 'in', 'vehicle', 'chargers', 'with']","['⚡️@RawCharging launches ultra-fast EV charging hub in Croydon, addressing the needs of EV drivers without home charging.⚡️ \r\n\r\nFind out more below 👇\r\n\r\n#ElectricDrives #ElectricVehicles #Sustainability #EV #EVcharging \r\n\r\nhttps://t.co/KxpYPWaGFk', 'RT @emporia_energy: ""The Emporia Electric Vehicle EV Charging Station is a high-value, attractively-priced smart home EV charger.""\r\n\r\nRead @t…', 'RT @SIRIMQASIntl: Electric Vehicle (EV) is no longer the future. It is the reality of today.\r\n\r\nWith more EVs on the roads, the number of EV…']",0.8537770491803278,0.10849508196721312,0.037737704918032786,"[2173, 2190, 2806]","(81, 149, 72)"
1,204,1_escooter_solar_the_emobility,"['escooter', 'solar', 'the', 'emobility', 'to', 'in', 'an', 'on', 'of', 'ride']","[""Whether you drive an EV, ride an e-bike or an e-scooter, or just live in Bristol and wonder what the fuss is all about, we'd love to hear from you. https://t.co/nHNU570jCg"", 'RT @ITEM_Research: Whether you drive an EV, ride an e-bike or an e-scooter, or just live in Bristol and wonder what the fuss is all about,…', '@Schmilly2 I want to get from north perth to balcatta, a straight trip up Charles/Wanneroo. PT not operating early enough. I thought that I could ride my e-scooter to work, and then catch the bus home. But not sure if I can take a scooter on the bus.']",0.8144607843137255,0.13995588235294118,0.04557352941176471,"[2605, 2610, 3881]","(31, 63, 85)"
2,130,2_energy_efficiency_global_iea,"['energy', 'efficiency', 'global', 'iea', 'renewable', 'the', 'to', 'conference', 'green', 'in']","['Warm and successful meeting between the 🇮🇹 Minister for Environment and Energy Security @GPichetto  and the #IEA Executive Director @fbirol on the next 🇮🇹  #G7 presidency at @IEA annual global conference on energy efficiency https://t.co/y5hhyPc8Sj', ""Minister @EamonRyan is representing 🇮🇪 at the @IEA Annual Global Conference on Energy Efficiency in Versailles.\r\n\r\nImportant that we work together to achieve faster progress on energy efficiency to address today's global energy crisis and meet our climate goals. https://t.co/3jKqzveNXl"", 'A pleasure to meet with Italian Minister @GPichetto on the sidelines of @IEA’s Global Conference on Energy Efficiency\r\n\r\nLooking forward to close collaboration with 🇮🇹 to advance the energy &amp; climate priorities of its 2024 #G7 Presidency https://t.co/307NoEasdJ']",0.6673,0.28938461538461535,0.04333076923076923,"[662, 2844, 3040]","(13, 102, 180)"
3,118,3_grid_smart_power_electricity,"['grid', 'smart', 'power', 'electricity', 'the', 'to', 'they', 'meters', 'on', 'of']","['Power from EV batteries could become part of a larger smart grid solution.  https://t.co/zNJAnUbNkT', ""@realstewpeters Yes! That's the whole idea behind Climate Change\r\nor\r\nClimate Crisis.\r\n&amp; hidden in plain sight is the fact they want us ALL 100% dependent on electricity\r\nWith the new smart power meters &amp; the smart power grid when they start a rationing &amp; we don't comply they just turn us OFF! https://t.co/myyNoN3Uiw"", 'RT @IEA: Electricity systems are generating more data than ever, thanks to a growing number of smart power meters, connected devices &amp; grid…']",0.7206016949152543,0.23673728813559322,0.0426864406779661,"[479, 878, 3026]","(123, 114, 204)"
4,102,4_mobility_sustainable_transport_urban,"['mobility', 'sustainable', 'transport', 'urban', 'and', 'public', 'tourism', 'our', 'to', 'at']","['📢New guide on mobility management, an essential part of sustainable urban mobility planning.\r\n\r\n💡To help public &amp; private organisations shift towards more #sustainable modes of #transport. Result - less congestion &amp; better air quality. 🚴🚶\u200d♂️🚎\r\n\r\nhttps://t.co/3RN2NO9CjG\r\n#EUGreenDeal https://t.co/mxMELXLHVT', 'Farewell to the excellent #UITP2023 Summit. A great event to learn and share about sustainable urban mobility 👍🏽\r\n\r\nSee @ITF_Forum work for more liveable cities, including on New Mobility, Automated Vehicles, #PublicTransport and Shared Mobility 👉🏽 https://t.co/PrkjYsgMFh https://t.co/aUiVCGRxHD', 'RT @Transport_EU: 📢New guide on mobility management, an essential part of sustainable urban mobility planning.\r\n\r\n💡To help public &amp; private o…']",0.8019117647058823,0.18846078431372548,0.009627450980392157,"[612, 632, 1046]","(133, 157, 200)"
5,102,5_bicycle_electric_bike_ebike,"['bicycle', 'electric', 'bike', 'ebike', 'an', 'for', 'folding', 'the', 'mountain', 'to']","['Ancheer Electric Bike, Electric Bike for Adults 26"" EBike 500W Adult Electric Bicycle, 19.8MPH Electric Mountain Bike, 48V 10.4Ah Battery, Lockable Suspension Fork, Shimano 21 Speed, Color LCD Display\r\nNow $594.99\r\n\r\nhttps://t.co/8V8vjoEwWs https://t.co/ihlcG2GWeE', 'RT @BenBestDeals: Ancheer Electric Bike, Electric Bike for Adults 26"" EBike 500W Adult Electric Bicycle, 19.8MPH Electric Mountain Bike, 48…', '7 Speed Ebike Folding Electric Bike Electric Bicycle For Adult #ebikes #folding #FastX https://t.co/gVTTag8pHr']",0.8552450980392157,0.12352941176470587,0.021245098039215683,"[1887, 2582, 3796]","(108, 98, 107)"
6,77,6_wind_power_the_to,"['wind', 'power', 'the', 'to', 'solar', 'farms', 'you', 'of', 'and', 'offshore']","[""RT @latimeralder: The unreliability of wind power\r\n\r\nHere's how UK's wind powered electricity generation looked for all of 2022\r\n\r\nSometimes qu…"", 'RT @SchillerWalther: @dorfman_p Wind turbines which last 20 years , so every year you will need 1000 wind turbines every year, with a very…', ""The unreliability of wind power\r\n\r\nHere's how UK's wind powered electricity generation looked for all of 2022\r\n\r\nSometimes quite a lot.\r\n\r\nSonetimes nothing at all\r\n\r\n'We're sorry for the power cut. We hope the wind will pick up by Tuesday and the trains will start running again' https://t.co/gmxRJ2STdD""]",0.839051948051948,0.10992207792207792,0.051000000000000004,"[413, 438, 2426]","(23, 190, 76)"
7,75,7_life_battery_phone_it,"['life', 'battery', 'phone', 'it', 'my', 'iphone', 'is', 'apple', 'hours', 'ios']","[""2 hours of battery life is really amazing + the fact that you can use it while plugged in is mind blowing tech. \r\n\r\nAlso it's so safe to wear something on your head and use it while it is charging all day. Might even just blow up and take you to Valhalla. Another plus. https://t.co/UdY1wts5Id"", '@osiristhe1 It is pretty much the same battery life. iPhone is better optimized and despite the fact that it has smaller battery still lives the full day if not longer. Nothing phone is 4500 mAh if I am not mistaken and you can expect it  to last until the late dinner', '@Apple Only 2 hours of battery life']",0.7721733333333333,0.16458666666666666,0.06317333333333335,"[2717, 2968, 3472]","(95, 82, 189)"
8,67,8_lithium_battery_lithiumion_ion,"['lithium', 'battery', 'lithiumion', 'ion', 'manufacturing', 'cell', 'technology', 'group', 'gujarat', 'tata']","['#TataGroup  to enter EV battery cell manufacturing business &amp; build local supply chain; Group company Agratas Energy Storage Solutions to set up Rs 13,000 crore lithium-ion-cell plant in Sanand, Gujarat with initial manufacturing capacity of 20 GWh https://t.co/iLwxNDy43y', 'RT @Bharatheeyam9: *Lithium Ion Battery*\r\n\r\nTata Group will set up a lithium-ion cell manufacturing facility in Gujarat through its subsidiar…', '*Lithium Ion Battery*\r\n\r\nTata Group will set up a lithium-ion cell manufacturing facility in Gujarat through its subsidiary with an initial capacity of 20 GWh at a cost of Rs 13,000 crore. \r\n\r\nTata Group subsidiary *Agratas Energy Storage Solutions Pvt Ltd* has signed  MOU with the']",0.860865671641791,0.11905970149253732,0.020059701492537316,"[1736, 2349, 3529]","(150, 87, 210)"
